Category,Label,Field,New/DAAO,Field type,Multi-value field?,Taxonomy,Requirement,Notes
Entry data,About this entry,Project,New,Dropdown,No,Project,Required,
,,Date entry created,New,Date entry,No,Single date,Required,
,,Data source,New,Free text entry,Yes,N/A,Required,
Exhibition information,Basic information,Title,DAAO,Free text entry,No,N/A,Required,
,,Description,DAAO,Free text entry,No,N/A,Recommended,
,,Exhibition type,New,Dropdown,Yes,Exhibition type,Recommended,
,,Group/society/association,New,Free text entry,Yes,N/A,Optional,
,,Venue,New,Free text entry,Yes,N/A,Recommended,
,Date and place,Start date,DAAO,Year entry,No,Year only,Required,
,,Precision,DAAO,Dropdown,No,From DAAO: taxonomy for 'Precision' field,Required,
,,Approximate,DAAO,Checkbox,No,N/A,Optional,
,,End date,DAAO,Year entry,No,Year only,Required,
,,Precision,DAAO,Dropdown,No,From DAAO: taxonomy for 'Precision' field,Required,
,,Approximate,DAAO,Checkbox,No,N/A,Optional,
,,Place,New,Free text entry,No,N/A,Required,
,,Location,New,Geographic coordinates entry,No,Coordinates format,Required,
,Website,Website,DAAO: label there is 'Tags and website',Free text entry,No,N/A,Optional,
